amenities,description,name,price
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Children Activities (Kid / Family Friendly),Airport transportation,Business Center with Internet Access,Non-smoking hotel,Laundry service",,Urdesa Suites Hotel,
"Air conditioning,Bath / shower",,Hostal El Dorado,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access","Very nice and warm building with 5 floors, 85 rooms distributed in 40 single rooms with king size beds and 40 double rooms with full size beds and 4 confortable suites. Recreational areas and outdoor swimming pool that gives the perfect window to start an active healthy day or a relaxed endday rest. Six meeting rooms that together integrate the Grand Conference and Banquet room.",Radisson Hotel Guayaquil,
"Paid private parking nearby,Wifi,Restaurant,Children Activities (Kid / Family Friendly),Business Center with Internet Access,Non-smoking hotel,24-hour front desk,Laundry service",,Hotel Sander,
"Free parking,Parking,Free High Speed Internet (WiFi),Bicycle rental,Airport transportation,Business Center with Internet Access,Non-smoking hotel,Dry cleaning","Guayaquil Suites hotel, we offer a space for rest and if business is our location is very privileged is in step Guayaquil airport, bus terminal Guayaquil, Guayaquil Convention Center and Mall del Sol Shopping Center. Hotels Guayaquil Guayaquil hotel has rooms: Type: Double, triple, double and single, all with cable TV, Wi-Fi, air conditioning, free local calls, private bathroom with hot shower, Garage, Safe, Maintenance and Cleaning Daily with room service ,; Spread over 3 floors for your entire comfort. The best memory who will visit Ecuador Guayaquil, is the quality and warmth of its people, kind and honest, with good costumbrestos that will surprise anyone who has the opportunity to treat Hotel in Guayaquil",Suites Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities",,Hotel Marcelius,
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Shuttle bus service,Meeting rooms,Baggage storage,Concierge,24-hour front desk","It is said that the time of staying in a hotel for a smart business traveler, a weekender,or a tourist is approximately ten to twelve hours. Neither more nor less than that. A hotel stay should preferabl be simple,time when you can relax and be yourself. Resetting your day, from one day to the next, needs three basic actions: take a shower,sleep like a King,and get your self dressed to go on. Based on this most straight forward concept of staying in a hotel,any smart opened mind will love YU!,a new kind of hotel...and not just because the XL-King size bed, or the powerful rain shower,or the wall-to-wall window,or the free Wi-Fi internet access. It's all those things plus the fact that we care about your pocket. YU!means more with less,a room for people lik eyou...By""you""we mean smart travelers,the weekenders,the adventurers with style,the shoppers,the workaholics short and large. Those who jump from a place to another, seeking for a new experience...and that also,means you. YU!offers 20 brand new rooms in amodern 5 floors building located two blocks from the most important city site in the center of Guayaquil,and a 10 min ride to the Airport. Our vision is to provide you the best value for money hotel in town. To achieve this goal we have fashioned this new concept of hotel. YU!is a 2*hotel. Still believe in stars? Being a low cost hotel doesn't mean offering a low cost environment. All our rooms are non-smoking and include the following: •XL-king size bed for all Queens •sparkling white bed and bath linen •the softest memory foam pillows •wall-to-wall window •black out blind •rain shower for washing away jet lag •32 inches LED TV •individual air-conditioning •in-room safe •free movies •free Wi-Fi fo rFacebooking all your snaps ......Absolutely no swimming pool, bellboys, towel swans, or pillow chocolates.",Yu! Smarthotels,
"Paid private parking on-site,Free High Speed Internet (WiFi),Free breakfast,Shuttle bus service,Rooftop terrace,Baggage storage,24-hour front desk,Ironing service",,Mansion del Rio,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Children Activities (Kid / Family Friendly),Free airport transportation,Business Center with Internet Access",,Sonesta Hotel Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access",Up scale full service property opened in July 2013 to cater corporate and leisure travelers lodging needs. Our service staff will extreme their efforts to always better serve you the Ecuadorian way.,Holiday Inn Guayaquil Airport,
"Paid private parking nearby,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Hiking,Baggage storage,Gift shop,24-hour front desk","Located in Guayaquil city centre on the west bank of the River Guayas, this hostel offers free Wi-Fi access throughout the property and a restaurant, serving freshly-prepared local and international dishes. Guests can relax on the balcony, offered with some rooms, and take in the view of the city. Private bathrooms are offered in some rooms of Manso Boutique Hostal while others have access to shared facilities. Simon Bolivar Airport is just 5 km away.",Manso Boutique Guesthouse,
"Paid private parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Airport transportation,Business Center with Internet Access","The hotel is located only 3 minutes from the Jose Joaquin de Olmedo Airport and a few steps from Mall del Sol Shopping Center, the biggest mall in the city. This hotel has modern accommodations in the main commercial and financial area of Guayaquil. It features a health club, free WIFI and free parking for all guests. Rooms at Wyndham Garden Guayaquil are nicely decorated and furnished with comfortable beds and feathered pillows. They come equipped with air conditioning, flat screen TV, coffee machine and a work desk. Room service is available 24/7. Wellness facilities include a sauna, jacuzzi and a gym. Our restaurant offers a healthy breakfast everyday, and sit-down lunch and dinner. National and international dishes can be ordered for dinner, accompanied with a selection of delicious wines.",Wyndham Garden Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Airport transportation,Business Center with Internet Access,Conference facilities,Massage",,Unipark Hotel,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities","Oro Verde Guayaquil, Member of Worldhotels offers an exquisite combination of European experience and Ecuadorian hospitality. Our full-service, downtown hotel offers the ultimate in sophistication and comfort for business and leisure travelers alike. Our hotel's superb location in the Guayaquil commercial and financial district means you are within walking distance of popular tourist attractions, entertainment and shopping as well as cultural and historical sites. The hotel is also just a quick eight-minute drive from the airport and offers complimentary transfers.",Oro Verde Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Hot tub,Fitness Center with Gym / Workout Room,Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities","Hotel Del Parque is Guayaquil's first luxury boutique hotel, which was built within a 125-year-old historic wooden structure that includes a church. This Boutique Hotel offers 44 well-appointed guestrooms and suites, lush tropical gardens, patios and a unique massage room located in the former bell tower. The hotel benefits from its exclusive setting in the Parque Historico Guayaquil; a unique riverfront park themed on the history, nature, and culture of the Ecuadorian coastal area. Although it is only 15 minutes away from Guayaquil’s international airport, the hotel is secluded and it’s tranquil location allows for many customized activities, including nature walks, river cruises, bird and endemic animal observation, introduction to artisanal coffee roasting and chocolate processing, and much more.",Hotel Del Parque,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities","Conveniently located in Ecuador, just few minutes from the international airport, Hilton Colon Guayaquil provides relaxing experiences for business and leisure guests alike. Our fully renovated hotel offers comfort, world class dining, elegance, hospitality, detailed service and lot more to enjoy.",Hilton Colon Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access","Very nice and warm building with 5 floors, 85 rooms distributed in 40 single rooms with king size beds and 40 double rooms with full size beds and 4 confortable suites. Recreational areas and outdoor swimming pool that gives the perfect window to start an active healthy day or a relaxed endday rest. Six meeting rooms that together integrate the Grand Conference and Banquet room.",Radisson Hotel Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access","Very nice and warm building with 5 floors, 85 rooms distributed in 40 single rooms with king size beds and 40 double rooms with full size beds and 4 confortable suites. Recreational areas and outdoor swimming pool that gives the perfect window to start an active healthy day or a relaxed endday rest. Six meeting rooms that together integrate the Grand Conference and Banquet room.",Radisson Hotel Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access","Very nice and warm building with 5 floors, 85 rooms distributed in 40 single rooms with king size beds and 40 double rooms with full size beds and 4 confortable suites. Recreational areas and outdoor swimming pool that gives the perfect window to start an active healthy day or a relaxed endday rest. Six meeting rooms that together integrate the Grand Conference and Banquet room.",Radisson Hotel Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access","Very nice and warm building with 5 floors, 85 rooms distributed in 40 single rooms with king size beds and 40 double rooms with full size beds and 4 confortable suites. Recreational areas and outdoor swimming pool that gives the perfect window to start an active healthy day or a relaxed endday rest. Six meeting rooms that together integrate the Grand Conference and Banquet room.",Radisson Hotel Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access","Very nice and warm building with 5 floors, 85 rooms distributed in 40 single rooms with king size beds and 40 double rooms with full size beds and 4 confortable suites. Recreational areas and outdoor swimming pool that gives the perfect window to start an active healthy day or a relaxed endday rest. Six meeting rooms that together integrate the Grand Conference and Banquet room.",Radisson Hotel Guayaquil,
"Paid private parking on-site,Free High Speed Internet (WiFi),Free breakfast,Shuttle bus service,Rooftop terrace,Baggage storage,24-hour front desk,Ironing service",,Mansion del Rio,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Children Activities (Kid / Family Friendly),Free airport transportation,Business Center with Internet Access",,Sonesta Hotel Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access",Up scale full service property opened in July 2013 to cater corporate and leisure travelers lodging needs. Our service staff will extreme their efforts to always better serve you the Ecuadorian way.,Holiday Inn Guayaquil Airport,
"Paid private parking nearby,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Hiking,Baggage storage,Gift shop,24-hour front desk","Located in Guayaquil city centre on the west bank of the River Guayas, this hostel offers free Wi-Fi access throughout the property and a restaurant, serving freshly-prepared local and international dishes. Guests can relax on the balcony, offered with some rooms, and take in the view of the city. Private bathrooms are offered in some rooms of Manso Boutique Hostal while others have access to shared facilities. Simon Bolivar Airport is just 5 km away.",Manso Boutique Guesthouse,
"Paid private parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Airport transportation,Business Center with Internet Access","The hotel is located only 3 minutes from the Jose Joaquin de Olmedo Airport and a few steps from Mall del Sol Shopping Center, the biggest mall in the city. This hotel has modern accommodations in the main commercial and financial area of Guayaquil. It features a health club, free WIFI and free parking for all guests. Rooms at Wyndham Garden Guayaquil are nicely decorated and furnished with comfortable beds and feathered pillows. They come equipped with air conditioning, flat screen TV, coffee machine and a work desk. Room service is available 24/7. Wellness facilities include a sauna, jacuzzi and a gym. Our restaurant offers a healthy breakfast everyday, and sit-down lunch and dinner. National and international dishes can be ordered for dinner, accompanied with a selection of delicious wines.",Wyndham Garden Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Airport transportation,Business Center with Internet Access,Conference facilities,Massage",,Unipark Hotel,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities","Oro Verde Guayaquil, Member of Worldhotels offers an exquisite combination of European experience and Ecuadorian hospitality. Our full-service, downtown hotel offers the ultimate in sophistication and comfort for business and leisure travelers alike. Our hotel's superb location in the Guayaquil commercial and financial district means you are within walking distance of popular tourist attractions, entertainment and shopping as well as cultural and historical sites. The hotel is also just a quick eight-minute drive from the airport and offers complimentary transfers.",Oro Verde Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Hot tub,Fitness Center with Gym / Workout Room,Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities","Hotel Del Parque is Guayaquil's first luxury boutique hotel, which was built within a 125-year-old historic wooden structure that includes a church. This Boutique Hotel offers 44 well-appointed guestrooms and suites, lush tropical gardens, patios and a unique massage room located in the former bell tower. The hotel benefits from its exclusive setting in the Parque Historico Guayaquil; a unique riverfront park themed on the history, nature, and culture of the Ecuadorian coastal area. Although it is only 15 minutes away from Guayaquil’s international airport, the hotel is secluded and it’s tranquil location allows for many customized activities, including nature walks, river cruises, bird and endemic animal observation, introduction to artisanal coffee roasting and chocolate processing, and much more.",Hotel Del Parque,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities","Conveniently located in Ecuador, just few minutes from the international airport, Hilton Colon Guayaquil provides relaxing experiences for business and leisure guests alike. Our fully renovated hotel offers comfort, world class dining, elegance, hospitality, detailed service and lot more to enjoy.",Hilton Colon Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view.",Wyndham Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities","Conveniently located in Ecuador, just few minutes from the international airport, Hilton Colon Guayaquil provides relaxing experiences for business and leisure guests alike. Our fully renovated hotel offers comfort, world class dining, elegance, hospitality, detailed service and lot more to enjoy.",Hilton Colon Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities","Conveniently located in Ecuador, just few minutes from the international airport, Hilton Colon Guayaquil provides relaxing experiences for business and leisure guests alike. Our fully renovated hotel offers comfort, world class dining, elegance, hospitality, detailed service and lot more to enjoy.",Hilton Colon Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities","Conveniently located in Ecuador, just few minutes from the international airport, Hilton Colon Guayaquil provides relaxing experiences for business and leisure guests alike. Our fully renovated hotel offers comfort, world class dining, elegance, hospitality, detailed service and lot more to enjoy.",Hilton Colon Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities","Conveniently located in Ecuador, just few minutes from the international airport, Hilton Colon Guayaquil provides relaxing experiences for business and leisure guests alike. Our fully renovated hotel offers comfort, world class dining, elegance, hospitality, detailed service and lot more to enjoy.",Hilton Colon Guayaquil,
